0,1,2,3,4,5,6,7,8,9,10
5032,4948,5168,1350,8929,21715,20527,1088,8081,8099,22928
4834,19037,11546,13740,21554,23207,1428,3293,5593,492,4261
3953,16796,2937,7012,16621,14423,942,21632,19404,16699,19801
16154,12,3543,21127,15893,17613,225,18014,11651,4482,5059
12430,6577,6065,20141,21662,7308,6878,10297,8100,22393,21764
5548,21495,15102,9169,17685,10623,4980,6839,4138,13726,4624
3358,887,3745,14156,9930,12807,14594,21674,9738,39,15620
16545,5184,14321,19632,22587,3896,22400,17242,7046,15519,5311
10931,22312,12119,1216,5996,2602,17193,12928,12405,16041,18125
5123,14660,13446,7710,17122,22736,13850,3327,22943,9865,12005
12109,10019,13833,22010,17598,2505,21215,11422,17936,6028,9924
2861,14628,10488,6481,20233,2975,17361,1553,780,16490,5156
544,3543,4482,20043,15893,18014,1677,5059,3,6809,4349
9007,13073,1918,17436,11956,20718,19621,815,19094,5320,15060
9544,280,1565,8419,17133,4319,17813,17080,9456,14666,6659
2605,191,6876,18876,12759,5587,12116,16290,9974,3257,6808
16998,20987,8043,3869,9301,19838,6008,3707,20996,783,10894
15119,7451,14698,22605,2478,19842,3974,5172,633,19260,7663
19167,101,8723,17624,6586,20366,3233,23218,19255,14272,3630
16285,1628,9070,11827,14414,14083,13525,4405,8244,9871,9131
6224,18954,4240,11158,16756,3021,22453,6607,12023,6513,7432
9861,5510,8449,11535,7640,1976,7325,11239,9063,8984,8246
10108,19836,18527,9027,6107,12816,3122,7932,8693,2760,22882
1592,20641,6703,19761,11767,1995,1383,2425,17815,16421,17162
2482,15528,15177,3342,18342,22154,5287,8784,1686,17623,19278
17018,5905,12320,21453,3333,20830,1204,1302,16866,9204,16648
8420,1428,20609,15985,4261,4834,11546,11990,21554,16579,11989
804,16709,11689,14243,20161,739,20808,17020,9610,23209,9969
11678,3709,17171,466,15903,20012,22613,1151,22419,10071,4329
14774,12709,21911,9149,9577,11346,1860,18615,871,7532,9471
21254,22817,22987,3321,18169,14267,2938,21149,20789,22677,17817
1456,1401,18492,4047,16674,15975,16124,21679,15173,19952,17208
10720,10714,20765,19410,21810,9143,23027,8414,9952,17774,14481
15273,14508,20771,18458,5313,13931,21670,23187,5751,12228,12249
17836,4698,2797,8736,23157,9130,17969,8204,20732,12573,766
11017,22164,7061,18696,4720,23148,22178,10685,1501,1347,3502
11504,2605,15720,18876,6876,9974,21806,6861,145,17132,16092
18017,18560,6234,2427,6508,3239,9711,17767,2930,1919,20899
21319,3937,9245,13778,2599,7116,4976,15313,115,20306,18589
14594,6391,3745,887,14603,3358,9930,21674,12807,15620,14156
20305,10866,14927,10116,22672,9413,14938,4235,22962,14158,18181
17531,5577,7223,15036,1461,14665,16922,18981,20971,13240,1507
10780,945,1707,17102,14369,20331,17025,12337,9282,7232,355
18753,19847,10319,14140,18592,981,2619,16445,106,15597,22256
19836,12958,17151,14363,3122,6438,18930,9027,7263,11394,6267
516,17442,20068,4969,8742,107,8137,7179,19589,15953,4755
3244,19115,21116,1254,11795,16304,3994,15374,22687,12324,18109
8064,12828,2909,8094,4588,17799,8967,15053,13215,15030,12700
17322,6543,19070,7557,21988,6799,17958,2979,2563,4539,11924
17927,2563,14782,20099,15307,4539,16967,6552,22308,3179,12517
8035,14758,8151,16599,2969,15831,4809,13428,20644,983,2694
18970,13520,22447,2833,16275,14974,2035,19264,15371,18216,4312
13550,5908,4560,3463,7725,5403,17550,12728,20532,20132,2918
13282,15625,10157,18174,1858,11362,4918,183,2180,11032,4668
10861,22686,5617,10228,18850,17383,16203,7208,22644,1580,20448
800,16538,17769,17898,19811,21801,4449,19708,20338,21585,10136
8367,9824,12059,1858,15625,2851,11032,12502,13282,21577,18174
13524,21856,820,2305,18863,2888,5489,6997,21916,6872,18317
500,22994,21400,3632,6755,4871,4665,15793,13137,22092,12883
4072,11222,12681,6224,18954,2763,22453,11227,3114,4163,8974
23071,702,709,17328,22676,1720,20897,22309,10262,8814,2565
21473,19048,11044,21140,12938,2275,14251,4022,20475,21159,2283
15453,931,669,21196,17028,303,21646,13206,2322,9018,11371
18076,13594,3420,4687,22195,17772,14455,5878,4193,4752,1191
4562,21980,17198,9422,4620,9209,22172,21455,11738,2418,23072
15428,17986,14364,5314,17594,5251,2895,11378,21485,9453,9270
715,14552,12835,6570,1772,7766,21971,13283,15690,6836,7000
6018,13514,9595,8068,22061,10988,5643,18212,19046,9796,13772
13878,19332,7803,10662,9619,2306,18529,14474,8706,21995,2203
18131,7609,393,10339,19562,22107,18657,7225,12179,5089,395
10986,21219,7915,13832,11468,8997,6966,1357,22965,11764,5073
23203,18930,19836,1294,18527,7033,12958,8693,6267,3122,18468
6349,14981,14414,11616,11569,11827,1628,16285,9131,15054,21942
6679,19025,16329,7598,19119,21565,6170,15623,21948,19272,574
